OrgID,Name,Address Line 1,Address Line 2,Zip Code ,Location,Coordinates,Org size,Service size,Target demographic,Services Provided,Available Roles,Brief description,Link,General Contact,Internal Contact,Consent
12,Robins des Bois,,,,Le Plateau-Mont-Royal,,medium,medium,,,"Cleaning, Cooking, Food preparation, Food serving","Robin des Bois is a non-profit restaurant. Our mission is to overcome loneliness, social isolation and poverty.",https://www.myplacedumarche.com/robins-des-bois/,,,
13,Moisson Rive Sud,,,,Boucherville,,medium,medium,,,"Cleaning, Cooking, Food preparation","Main food bank of the south shore of Montreal. Covering more than 70% of the territory, it collects nearly 3.3 million Kg of food from companies and redistributes it free of charge to more than 100 organizations working with the vulnerable population.",https://www.myplacedumarche.com/moisson-rive-sud/,,,
14,Chez Doris,,,,Ville-Marie,,medium,large,,,"Cleaning, Cooking, Food preparation, Food serving, Daycare, Delivery, Packing & Sorting",Chez Doris is a women’s shelter with the mandate to help any women in a position of difficulty.,https://www.myplacedumarche.com/chez-doris/,,,
15,Meals For Milton-Parc,,,,Le Plateau-Mont-Royal,,small,small,,,"Cooking, Food preparation, Food serving, Delivery",Meals For Milton-Parc (M4MP) is a community-based project supporting the individuals without houses in the Milton-Parc neighborhood.,https://www.myplacedumarche.com/meals-for-milton-parc/,,,
16,The Yellow Door,,,,Le Plateau-Mont-Royal,,large,large,,,"Daycare, Home Visits","Empower older adults and young people to initiate and engage in community and creative projects that promote social inclusion, combat urban isolation across all generations, and spark positive societal change.",https://www.myplacedumarche.com/the-yellow-door/,,,
17,Santropol Roulant,,,,Le Plateau-Mont-Royal,,medium,large,,,"Cleaning, Cooking, Food preparation, Delivery, Packing & Sorting","Intergenerational community food hub where we grow, prepare and deliver food. We create a continuum of engaging services that help build a stronger social fabric, and increase food security and social inclusion for Montrealers. ",https://www.myplacedumarche.com/santropol-roulant/,,,
18,APRMM,,,,Le Sud-Ouest,,small,medium,,,"Cleaning, Cooking, Food preparation, Delivery, Packing & Sorting","Since 1986, the Association des popotes roulantes du Montréal Métropolitain (APRMM) has been coordinating a network of entirely volunteer run popotes. ",https://www.myplacedumarche.com/aprmm/,,,
19,Dans La Rue,,,,Ville-Marie,,large,large,,,"Education, Daycare, Packing & Sorting, Cleaning, Cooking, Food preparation",Focused on helping homeless and at-risk youth.  Dans la rue cares for their immediate needs and helps them acquire the skills and ressources needed to lead more autonomous and rewarding lives.,https://www.myplacedumarche.com/dans-la-rue/,,,
20,Midnight Kitchen,,,,Ville-Marie,,small,small,,,"Delivery, Gardening, Cleaning, Cooking, Food preparation","Midnight Kitchen is a non-profit, worker and volunteer-run collective that operates out of tio’tia:ke (unceded kanien’kehá:ka territory) dedicated to providing accessible food to as many people as possible.",https://www.myplacedumarche.com/midnight-kitchen/,,,
21,Saint House,,,,Le Sud-Ouest,,large,large,,,"Education, Daycare, Delivery, Cleaning, Cooking, Food preparation","Saint Columba is engaged in seeking justice through empowerment, education and social action, as a community ministry of the United Church of Canada in partnership with the Point Saint Charles Community.",https://www.myplacedumarche.com/saint-columba-house/,,,
